variant,gamma,fill_mode,quote_decisions,quoted_bid,quoted_ask,maker_fills,buy_fills,sell_fills,trade_price_fills,best_quote_fills,bid_cancels,ask_cancels,expired_orders,market_orders,market_order_lots,policy_market_orders,policy_market_order_lots,terminal_flatten_orders,terminal_flatten_lots,gross_pnl_hkd,all_in_fees_hkd,net_pnl_hkd,maker_turnover_hkd,market_turnover_hkd,feeable_turnover_hkd,exposure_duration_seconds,absolute_inventory_lot_seconds,squared_inventory_lot2_seconds,realized_inventory_penalty_hkd,test_days,maker_fills_per_day,mean_daily_net_pnl_hkd,daily_net_pnl_std_hkd,profitable_days,active_days,maker_fill_rate,quoted_side_share,max_abs_inventory_lots,time_mean_abs_inventory_lots,time_rms_inventory_lots,nonzero_inventory_time_share,day_close_max_drawdown_hkd,worst_intraday_drawdown_hkd,mean_full_horizon_impulse_state_share
gamma_3.125,3.125,through,99087,187,188,230,114,116,222,8,73,72,145,94,94,94,94,0,0,473.0000305175781,698.9128275452423,-225.9127970276642,1782266.0000228882,740885.0019454956,2523151.001968384,444309.145,11104.443,11104.443,34701.384375,19,12.105263157894736,-11.890147211982324,61.87041024913843,8,18,0.6133333333333333,0.0018922764843016743,1,0.024992605092564544,0.15809049652830034,0.02499260509256454,292.68909537719725,185.80314783248903,0.9482038429406852
gamma_3.125,3.125,touch,99087,990,995,1320,657,663,1217,103,333,332,665,562,562,562,562,0,0,655.9745788574219,4358.894154589843,-3702.919575732421,10941108.986854553,4794970.993614197,15736079.98046875,444309.145,16990.975,16990.975,53096.796875,19,69.47368421052632,-194.89050398591692,318.04618263893946,7,19,0.6649874055415617,0.010016450190236862,1,0.03824133532070333,0.19555391921591173,0.03824133532070333,3743.738096373367,1278.2743172683709,0.9481342244500138
gamma_1.5625,1.5625,through,99087,287,305,338,164,174,326,12,123,131,254,116,116,116,116,0,0,197.99771118164062,1125.3512796069185,-927.3535684252779,2999186.998512268,1063453.0000686646,4062639.9985809326,444309.145,11441.357,11441.973,17878.0828125,19,17.789473684210527,-48.80808254869884,193.51876139624756,7,18,0.5709459459459459,0.002987273809884243,2,0.02575089243324037,0.1604751658522283,0.025750199222210477,946.106289861206,830.5509848846436,0.9142996379838487
gamma_1.5625,1.5625,touch,99087,4226,4186,5874,2905,2969,4713,1161,1321,1217,2538,1344,1344,1344,1344,0,0,-469.16705322265625,20921.239649417374,-21390.40670264003,61604679.97504425,13923260.997581482,75527940.97262573,444309.145,33079.812,33089.678,51702.621875,19,309.1578947368421,-1125.8108790863173,3087.1651036158655,7,19,0.6982881597717546,0.04244754609585516,2,0.07445224203071489,0.2729000683226799,0.07444113940081067,21431.22522328098,10878.406191706123,0.905318852687274
gamma_1,1.0,through,99087,506,491,528,259,269,501,27,247,222,469,146,146,146,146,0,0,16.98995971679642,1734.1892475536959,-1717.1992878368994,4890205.002433777,1370405.9995651245,6260611.001998901,444309.145,16068.057,16077.437,16077.437,19,27.789473684210527,-90.37890988615258,232.0100898935055,5,18,0.5295887662988967,0.005030932412930051,2,0.03616413747234485,0.19022420692215952,0.03615358175893499,1741.9501489635163,967.9812362707521,0.8942495126705655
gamma_1,1.0,touch,99087,5066,4968,7147,3550,3597,5678,1469,1516,1371,2887,183,183,183,183,0,0,1896.8134841918945,21047.903445298783,-19151.08996110689,74673383.99324036,1311827.000617981,75985210.99385834,444309.145,39314.425,46567.147,46567.147,19,376.1578947368421,-1007.9521032161523,2699.1829406445604,6,19,0.7122782539366155,0.050632272649288,2,0.08848439300073375,0.3237406165286782,0.08032259610591629,19197.910090327277,9517.182515100894,0.8773322194374829
gamma_0.78125,0.78125,through,99087,580,621,626,292,334,591,35,288,287,575,103,104,103,104,0,0,-326.0119934082036,1852.9937181513828,-2179.0057115595864,5782606.007148743,906902.000617981,6689508.007766724,444309.145,20268.84,27521.076,21500.840625,19,32.94736842105263,-114.68451113471505,262.4105342675477,4,18,0.5212323064113239,0.006060330820390162,2,0.045618777439298486,0.24888004619885593,0.0374575274609754,2203.756572686203,1082.9472456320195,0.8792119186856029
gamma_0.78125,0.78125,touch,99087,5596,5415,7795,3888,3907,6249,1546,1708,1508,3216,199,199,199,199,0,0,2389.8034515380855,22470.180720102246,-20080.37726856416,79652819.99240112,1466966.0007476807,81119785.9931488,444309.145,44637.549,51907.449,40552.69453125,19,410.2631578947368,-1056.8619615033767,2696.9782676530426,6,19,0.7079284352011624,0.05556228364972196,2,0.10046506920311081,0.34180012472563387,0.09228394117343679,20327.607167564798,9531.853364756047,0.8673767752715124
gamma_0.5,0.5,through,99087,1049,1035,1074,531,543,1015,59,518,492,1010,90,90,90,90,0,0,-1377.0200347900395,2686.8288127118076,-4063.8488475018476,9059681.006858826,640061.9993209839,9699743.00617981,444309.145,32911.193,40164.621,20082.3105,19,56.526315789473685,-213.88678144746567,428.57653431247127,4,19,0.5153550863723608,0.010516011182092505,2,0.07407273374938074,0.30066246277635,0.0659101423627011,4094.5223133527693,1883.1726613859562,0.8553327763854082
gamma_0.5,0.5,touch,99087,9801,9455,13550,6755,6795,10706,2844,3046,2660,5706,54,54,54,54,0,0,4508.730262756348,29529.82571448148,-25021.095451725134,106348391.00547028,257477.9998779297,106605869.0053482,444309.145,60512.108,67864.416,33932.208,19,713.1578947368421,-1316.8997606171124,2615.4047033080838,2,19,0.7036767760697964,0.09716713595123477,2,0.13619370359797567,0.3908214862570317,0.12791983833688592,25021.095451725134,9490.339862301671,0.8410609857978281
