model,model_label_zh,fill_mode,all_in_fee_bps_per_side,brokerage_bps_per_side_after_official_fees,net_pnl_hkd,profitable_days,test_days
forced_drift_inventory,强制 drift + 库存,touch,1.27,0.0,-17026.762765420237,8,19
forced_drift_inventory,强制 drift + 库存,touch,1.5,0.22999999999999998,-30572.994933503767,8,19
forced_drift_inventory,强制 drift + 库存,touch,1.75,0.48,-45297.160333594555,7,19
forced_drift_inventory,强制 drift + 库存,touch,1.9,0.6299999999999999,-54131.65957364903,6,19
forced_drift_inventory,强制 drift + 库存,touch,2.0,0.73,-60021.32573368534,6,19
forced_drift_inventory,强制 drift + 库存,touch,2.25,0.98,-74745.49113377613,5,19
forced_drift_inventory,强制 drift + 库存,touch,2.5,1.23,-89469.65653386693,5,19
forced_drift_inventory,强制 drift + 库存,touch,2.77,1.5,-105371.75516596499,5,19
forced_drift_inventory,强制 drift + 库存,touch,3.0,1.73,-118917.9873340485,5,19
forced_drift_inventory,强制 drift + 库存,touch,3.25,1.98,-133642.1527341393,5,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,0.0,-1.27,-50253.99993896486,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,1.27,0.0,-103733.60722895712,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,1.5,0.22999999999999998,-113418.89043895571,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,1.75,0.48,-123946.37218895418,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,1.9,0.6299999999999999,-130262.86123895326,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,2.0,0.73,-134473.85393895267,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,2.25,0.98,-145001.33568895113,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,2.5,1.23,-155528.8174389496,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,2.77,1.5,-166898.49772894796,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,3.0,1.73,-176583.78093894655,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,3.25,1.98,-187111.26268894505,0,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,0.0,-1.27,44398.00088500975,17,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,1.27,0.0,-26336.22416887786,9,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,1.5,0.22999999999999998,-39146.35941485749,8,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,1.75,0.48,-53070.41946483537,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,1.9,0.6299999999999999,-61424.855494822084,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,2.0,0.73,-66994.47951481324,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,2.25,0.98,-80918.53956479112,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,2.5,1.23,-94842.599614769,4,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,2.77,1.5,-109880.58446874512,3,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,3.0,1.73,-122690.71971472474,3,19
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,3.25,1.98,-136614.7797647026,2,19
