date,fill_mode,direction_accuracy,direction_macro_f1,drift_slope_ticks,directional_net_pnl_hkd,directional_gross_pnl_hkd,directional_maker_fills,directional_trade_price_fills,directional_best_quote_fills,directional_best_ask_fills,directional_best_bid_fills,directional_trade_price_fill_share,directional_best_quote_fill_share,directional_bid_cancels,directional_ask_cancels,directional_expired_orders,classic_as_net_pnl_hkd,classic_as_gross_pnl_hkd,classic_as_maker_fills,classic_as_trade_price_fills,classic_as_best_quote_fills,classic_as_best_ask_fills,classic_as_best_bid_fills,classic_as_trade_price_fill_share,classic_as_best_quote_fill_share,classic_as_bid_cancels,classic_as_ask_cancels,classic_as_expired_orders,gp_style_discrete_net_pnl_hkd,gp_style_discrete_gross_pnl_hkd,gp_style_discrete_maker_fills,gp_style_discrete_trade_price_fills,gp_style_discrete_best_quote_fills,gp_style_discrete_best_ask_fills,gp_style_discrete_best_bid_fills,gp_style_discrete_trade_price_fill_share,gp_style_discrete_best_quote_fill_share,gp_style_discrete_bid_cancels,gp_style_discrete_ask_cancels,gp_style_discrete_expired_orders,paired_no_signal_net_pnl_hkd,paired_no_signal_gross_pnl_hkd,paired_no_signal_maker_fills,paired_no_signal_trade_price_fills,paired_no_signal_best_quote_fills,paired_no_signal_best_ask_fills,paired_no_signal_best_bid_fills,paired_no_signal_trade_price_fill_share,paired_no_signal_best_quote_fill_share,paired_no_signal_bid_cancels,paired_no_signal_ask_cancels,paired_no_signal_expired_orders
2026-07-10,through,0.5859935659490225,0.5917501449327873,0.3016702986330525,-13754.881110213644,-5481.999664306641,3173,2976,197,90,107,0.9379136463914277,0.06208635360857233,2771,2551,5322,-1091.523736213654,2732.0003356933594,1467,1388,79,45,34,0.9461486025903204,0.05385139740967962,3916,3915,7831,-12416.148664213652,-4455.999664306641,3053,2878,175,75,100,0.9426793318047821,0.05732066819521782,2533,2662,5195,-12416.148664213652,-4455.999664306641,3053,2878,175,75,100,0.9426793318047821,0.05732066819521782,2533,2662,5195
2026-07-10,touch,0.5859935659490225,0.5917501449327873,0.3016702986330525,-10745.145995999992,436.0,4289,4002,287,149,138,0.9330846351130799,0.06691536488692003,2235,2022,4257,30.320602000004328,5306.0,2024,1909,115,70,45,0.9431818181818182,0.056818181818181816,3637,3637,7274,-10480.236070000003,210.0,4100,3830,270,136,134,0.9341463414634147,0.06585365853658537,1975,2158,4133,-10480.236070000003,210.0,4100,3830,270,136,134,0.9341463414634147,0.06585365853658537,1975,2158,4133
2026-07-14,through,0.5939180348945374,0.5891055382017086,0.2569138142480496,-9640.734170937132,-1796.0010986328125,4962,4729,233,110,123,0.95304312777106,0.04695687222893994,4108,3007,7115,1914.454605999998,6005.999999999989,2588,2512,76,33,43,0.9706336939721792,0.02936630602782071,5321,5321,10642,-9735.456457999997,-2938.000000000012,4302,4184,118,52,66,0.9725708972570897,0.027429102742910275,3702,3853,7555,-7784.330731999981,-748.0,4454,4332,122,53,69,0.9726088908845981,0.027391109115401886,3932,3981,7913
2026-07-14,touch,0.5939180348945374,0.5891055382017086,0.2569138142480496,-3257.617605671405,6911.998626708984,6423,5950,473,228,245,0.9263583995017904,0.07364160049820956,3378,2338,5716,4684.013395265702,10217.99972534179,3505,3394,111,48,63,0.9683309557774608,0.03166904422253923,4863,4862,9725,-4996.224094000003,4542.0,6038,5825,213,99,114,0.9647234183504472,0.03527658164955283,2832,3022,5854,-3527.1151365456462,6323.999847412095,6237,6019,218,100,118,0.9650472983806317,0.03495270161936829,3021,3130,6151
2026-07-15,through,0.6165206663649031,0.6117916675236365,0.23208188735133892,-7739.722573999994,-690.00000000001,3312,3223,89,47,42,0.9731280193236715,0.026871980676328504,3656,3377,7033,391.10455599997294,4263.999999999964,1822,1792,30,14,16,0.9835345773874863,0.01646542261251372,4718,4723,9441,-8130.797281927015,-1861.9997558593968,2947,2865,82,38,44,0.9721750933152359,0.027824906684764165,3037,3883,6920,-8130.797281927015,-1861.9997558593968,2947,2865,82,38,44,0.9721750933152359,0.027824906684764165,3037,3883,6920
2026-07-15,touch,0.6165206663649031,0.6117916675236365,0.23208188735133892,-4538.015833927078,5766.0002441405795,4841,4687,154,84,70,0.9681883908283413,0.03181160917165875,3010,2689,5699,971.0232340729681,6354.000244140594,2531,2481,50,26,24,0.9802449624654287,0.019755037534571317,4367,4369,8736,-6712.013651854017,2604.000488281228,4376,4264,112,61,51,0.9744058500914077,0.025594149908592323,2466,3161,5627,-6712.013651854017,2604.000488281228,4376,4264,112,61,51,0.9744058500914077,0.025594149908592323,2466,3161,5627
2026-07-16,through,0.5986520529402918,0.5857488550370453,0.2296706101813789,-8514.130319156186,-3360.0001831054688,3178,2968,210,113,97,0.933920704845815,0.06607929515418502,3721,1900,5621,-3840.8165040000004,-476.0,2078,1985,93,43,50,0.9552454282964389,0.04475457170356112,4282,4282,8564,-9465.65529957809,-4584.000091552734,3013,2870,143,68,75,0.9525389976767341,0.04746100232326585,3223,3242,6465,-9465.65529957809,-4584.000091552734,3013,2870,143,68,75,0.9525389976767341,0.04746100232326585,3223,3242,6465
2026-07-16,touch,0.5986520529402918,0.5857488550370453,0.2296706101813789,-4695.725805156179,2473.9998168945312,4422,4035,387,179,208,0.912483039348711,0.08751696065128901,3094,1453,4547,-1523.5158440000123,3276.0,2964,2807,157,78,79,0.9470310391363023,0.052968960863697706,3839,3839,7678,-6211.934399578093,815.9999084472656,4337,4092,245,128,117,0.9435093382522481,0.0564906617477519,2611,2543,5154,-6211.934399578093,815.9999084472656,4337,4092,245,128,117,0.9435093382522481,0.0564906617477519,2611,2543,5154
2026-07-17,through,0.6565298192262207,0.6555902077000767,0.1629531579406847,-1041.2645245233373,511.9996795654297,1199,1193,6,1,5,0.9949958298582152,0.0050041701417848205,1761,1136,2897,113.1989611588881,1263.9998931884766,889,882,7,1,6,0.9921259842519685,0.007874015748031496,1925,1924,3849,-1218.8215685233315,251.9996795654297,1135,1127,8,2,6,0.9929515418502203,0.007048458149779736,1483,1615,3098,-1218.8215685233315,251.9996795654297,1135,1127,8,2,6,0.9929515418502203,0.007048458149779736,1483,1615,3098
2026-07-17,touch,0.6565298192262207,0.6555902077000767,0.1629531579406847,1504.781843476664,3827.9996795654297,1797,1786,11,4,7,0.9938786867000556,0.006121313299944352,1465,873,2338,1000.5493651588881,2547.9998931884766,1197,1192,5,1,4,0.9958228905597326,0.004177109440267335,1771,1770,3541,74.17364715888743,2153.9998931884766,1611,1606,5,1,4,0.9968963376784605,0.0031036623215394167,1310,1332,2642,74.17364715888743,2153.9998931884766,1611,1606,5,1,4,0.9968963376784605,0.0031036623215394167,1310,1332,2642
