date,fill_mode,alpha_enabled,validation_score_improvement,classification_accuracy,calibrator_slope_ticks,traditional_baseline_net_pnl_hkd,traditional_baseline_maker_fills,directional_kill_switch_net_pnl_hkd,directional_kill_switch_maker_fills,paired_no_signal_ablation_net_pnl_hkd,paired_no_signal_ablation_maker_fills
2026-07-20,touch,True,1104.1962971723922,0.6009842254280706,0.7153516720808842,-3380.881952734273,3874,-4931.572511367119,4729,-3574.626398734269,4384
2026-07-21,through,True,2115.3515417386325,0.5854639762160795,0.013044450241329067,-3254.48976136715,1667,-2776.868974101424,1115,-3254.48976136715,1667
2026-07-21,touch,True,2115.3515417386325,0.5854639762160795,0.013044450241329067,-2175.3181041014286,2689,-1618.8329921014279,1843,-2175.3181041014286,2689
2026-07-22,through,False,-112.80702942954758,0.5890524111453668,0.0758699617328159,-3713.5179226301743,1942,-3713.5179226301743,1942,-3713.5179226301743,1942
2026-07-22,touch,False,-112.80702942954758,0.5890524111453668,0.0758699617328159,-1987.90412831508,2999,-1987.90412831508,2999,-1987.90412831508,2999
2026-07-23,through,True,6741.3595040810505,0.5884790767613296,0.10183769157956411,-6105.425301200745,1720,-1312.252170424607,805,-6105.425301200745,1720
2026-07-23,touch,True,6741.3595040810505,0.5884790767613296,0.10183769157956411,-4141.569421200748,2842,-865.6033104246058,1381,-4141.569421200748,2842
2026-07-24,through,True,1085.8115949089324,0.5970554716281042,0.18469043780589303,-2839.551941369843,1370,-3312.8508333698433,1538,-2839.551941369843,1370
2026-07-24,touch,True,1085.8115949089324,0.5970554716281042,0.18469043780589303,-1985.7949210547645,2313,-1958.6399770547614,2547,-1985.7949210547645,2313
2026-07-27,through,True,1393.3451090953836,0.593052783096373,0.11218183596961437,-3544.5598888184386,1557,-6156.740781263015,1457,-3478.2010453640623,1607
2026-07-27,touch,True,1393.3451090953836,0.593052783096373,0.11218183596961437,-2942.050958818427,2511,-4743.96527505206,2386,-2705.754653364049,2615
2026-07-28,through,True,1884.8027522763741,0.5893573643915241,0.1280512801494949,-207.23668494523668,1687,-1916.195205578097,1966,-207.23668494523668,1687
2026-07-28,touch,True,1884.8027522763741,0.5893573643915241,0.1280512801494949,362.81184284381516,2928,-236.08599999999296,3062,362.81184284381516,2928
2026-07-29,through,True,401.9235431374489,0.6280276062477298,0.1121314944010083,-4443.722968421912,3251,-1711.1693092657206,2921,-4443.722968421912,3251
2026-07-29,touch,True,401.9235431374489,0.6280276062477298,0.1121314944010083,54.13543154470608,5173,3034.469410312367,4564,54.13543154470608,5173
2026-07-30,through,True,880.7942635382506,0.6131792718256122,0.008736268065451374,-3558.808488981751,2180,-2160.5476020000037,2154,-3233.4564699635066,2252
2026-07-30,touch,True,880.7942635382506,0.6131792718256122,0.008736268065451374,-158.5204899999958,3792,1131.603169054762,3827,63.7494050182454,3928
